node_id,name,category,merge_key
tachycardia,頻脈,symptom,
tachypnea,頻呼吸,symptoms,
tb,結核,disease,
thirst,口渇,symptom,
thrombus,血栓形成,pathology,
troponin,トロポニン上昇,test,
ulcer,消化性潰瘍,disease,
urine,尿量減少,symptom,
uti,尿路感染,disease,
varices,食道静脈瘤,pathology,
vasodilation,血管拡張,pathology,
ventilation,換気低下,pathology,
vf,心室細動,disease,
visual_deficit,視野障害,symptom,
vomiting,嘔吐,symptoms,vomiting
wbc,WBC増加,test,
weight_gain,体重増加,symptoms,
weight_loss,体重減少,symptom,
left_colon_cancer,左側結腸癌,disease,
right_colon_cancer,右側結腸癌,disease,
apple_core_sign,アップルコアサイン,test,
weight_loss,体重減少,symptoms,
asymptomatic,無症状,symptoms,
delayed_detection,発見遅延,pathology,
liver_cirrhosis,肝硬変,disease,
portal_hypertension,門脈圧亢進,pathology,
hepatic_failure,肝機能低下,pathology,
protein_metabolism_disorder,蛋白代謝低下,pathology,
hormone_metabolism_disorder,ホルモン代謝低下,pathology,
bile_excretion_disorder,胆汁排泄障害,pathology,
ammonia_metabolism_disorder,アンモニア代謝低下,pathology,
hypoalbuminemia,低アルブミン血症,pathology,
hyperbilirubinemia,高ビリルビン血症,pathology,
hyperammonemia,高アンモニア血症,pathology,
coagulopathy,凝固障害,pathology,
ascites,腹水,symptoms,
edema,浮腫,symptoms,edema
dyspnea,呼吸苦,symptoms,
jaundice,黄疸,symptoms,
pruritus,掻痒感,symptoms,
hepatic_encephalopathy,肝性脳症,disease,
consciousness_disturbance,意識障害,symptoms,consciousness_disturbance
esophageal_varices,食道静脈瘤,disease,
hematemesis,吐血,symptoms,
splenomegaly,脾腫腫大,disease,
thrombocytopenia,血小板減少,pathology,
bleeding_tendency,出血傾向,symptoms,
gynecomastia,女性化乳房,symptoms,
malnutrition,低栄養,disease,
muscle_atrophy,筋萎縮,symptoms,
hepatic_fatigue,肝機能低下による倦怠感,symptoms,
asterixis,羽ばたき振戦,symptoms,
dark_urine,褐色尿,symptoms,
spider_angioma,くも状血管腫,symptoms,
muscle_weakness,筋力低下,symptoms,
chronic_kidney_disease,慢性腎不全,disease,
renal_dysfunction,腎機能低下,pathology,
water_retention,水・Na貯留,pathology,
renal_anemia,腎性貧血,disease,
epo_decrease,EPO産生低下,pathology,
uremic_toxin_retention,尿毒素蓄積,pathology,
hyperkalemia,高K血症,pathology,
potassium_excretion_decrease,K排泄低下,pathology,
vitamin_d_activation_decrease,VitD活性低下,pathology,
hypocalcemia,低Ca血症,pathology,
secondary_hyperparathyroidism,副甲状腺機能亢進,pathology,
renal_osteodystrophy,腎性骨異栄養症,disease,
hemodialysis,血液透析,treatment,
avf,内シャント,treatment,
renal_fatigue,腎機能低下による倦怠感,symptoms,
volume_overload,循環血液量増加,pathology,
cardiac_load,心負荷増大,pathology,
ileus,イレウス,disease,
decreased_peristalsis,腸蠕動低下,pathology,
intestinal_contents_retention,腸内容停滞,pathology,
increased_intestinal_pressure,腸管内圧上昇,pathology,
intestinal_distension,腸管拡張,pathology,
bowel_edema,腸管浮腫,pathology,
abdominal_pain,腹痛,symptoms,
electrolyte_abnormality,電解質異常,pathology,
appetite_loss,食欲低下,symptoms,
aspiration,誤嚥,pathology,
intestinal_necrosis,腸管壊死,disease,
mechanical_ileus,機械性イレウス,disease,
paralytic_ileus,麻痺性イレウス,disease,
fecal_obstruction,便閉塞,pathology,
gas_retention,ガス貯留,pathology,
absence_of_flatus,排ガス停止,symptoms,
absence_of_defecation,排便停止,symptoms,
colicky_pain,間欠的腹痛,symptoms,
bowel_sound_hyperactivity,グル音亢進,signs,
bowel_sound_decrease,腸蠕動音低下,signs,
prostate_cancer,前立腺がん,disease,
prostate_enlargement,前立腺腫大,pathology,
urethral_compression,尿道圧迫,pathology,
obstructive_dysuria,閉塞性排尿障害,symptoms,
residual_urine,残尿,pathology,
frequent_urination,頻尿,symptoms,
nocturia,夜間頻尿,symptoms,
urinary_retention,尿閉,disease,
urinary_tract_infection,尿路感染,disease,
hematuria,血尿,symptoms,
bone_metastasis,骨転移,disease,
psa_elevation,PSA上昇,pathology,
prostate_biopsy,前立腺生検,test,
hormone_therapy,ホルモン療法,treatment,
hot_flash,ほてり,symptoms,
osteoporosis,骨粗鬆症,disease,
spinal_metastasis,脊椎転移,disease,
spinal_cord_compression,脊髄圧迫,disease,
lower_limb_paralysis,下肢麻痺,symptoms,
weak_urine_stream,尿線細小,symptoms,
voiding_delay,排尿遅延,symptoms,
postrenal_failure,腎後性腎不全,disease,
hydronephrosis,水腎症,disease,
sexual_dysfunction,性機能障害,symptoms,
parkinsons_disease,パーキンソン病,disease,
dopamine_decrease,ドパミン低下,pathology,
akinesia,無動,symptoms,
resting_tremor,安静時振戦,symptoms,
muscle_rigidity,筋強剛,symptoms,
festination,小刻み歩行,symptoms,
freezing_gait,すくみ足,symptoms,
postural_reflex_disorder,姿勢反射障害,symptoms,
masked_face,仮面様顔貌,symptoms,
dysphagia,嚥下障害,symptoms,
aspiration,誤嚥,pathology,
orthostatic_hypotension,起立性低血圧,symptoms,
neurogenic_bladder,神経因性膀胱,symptoms,
levodopa,レボドパ治療,treatment,
wearing_off,ウェアリングオフ,symptoms,
dyskinesia,ジスキネジア,symptoms,
neurogenic_bladder,膀胱機能障害,symptoms,
long_term_levodopa_use,長期レボドパ使用,pathology,
drug_effect_shortening,薬の効く時間が短くなる,pathology,
unable_to_move_when_drug_wears_off,薬が切れると動けなくなる,symptoms,
dopamine_fluctuation,ドパミン濃度変動,pathology,
sudden_motor_fluctuation,急に動けたり動けなくなったりする,symptoms,
on_off_phenomenon,on-off現象,symptoms,
postural_abnormality,前傾姿勢,symptoms,
joint_stiffness,関節の動かしにくさ,symptoms,
fine_motor_difficulty,細かい動作がしにくい,symptoms,
motor_control_disorder,運動調節障害,pathology,
autonomic_dysfunction,自律神経障害,pathology,
swallowing_muscle_disorder,嚥下筋運動低下,pathology,
bladder_dysfunction,膀胱機能障害,pathology,
urinary_urgency,尿意切迫,symptoms,
small_voice,小声,symptoms,
leukemia,白血病,disease,
abnormal_blast_proliferation,異常芽球増殖,pathology,
bone_marrow_failure,骨髄機能低下,pathology,
normal_hematopoiesis_suppression,造血機能抑制,pathology,
dyspnea,息切れ,symptoms,
tachycardia,動悸,symptoms,
purpura,紫斑,symptoms,
epistaxis,鼻血,symptoms,
susceptibility_to_infection,感染しやすくなる,pathology,
lymphadenopathy,リンパ節腫脹,symptoms,
hepatosplenomegaly,肝脾腫,symptoms,
tumor_cell_breakdown,白血病細胞が壊れる,pathology,
uric_acid_elevation,尿酸上昇,pathology,
bone_marrow_suppression,骨髄抑制,pathology,
stomatitis,口内炎,symptoms,
alopecia,脱毛,symptoms,
dic,DIC,disease,
microthrombus,微小血栓,pathology,
coagulation_factor_consumption,凝固因子消費,pathology,
anemia_fatigue,貧血による倦怠感,symptoms,
oxygen_transport_decrease,酸素運搬低下,pathology,
schizophrenia,統合失調症,disease,
dopamine_hyperactivity,ドパミン過活動,pathology,
positive_symptoms,陽性症状,pathology,
negative_symptoms,陰性症状,pathology,
cognitive_impairment,認知機能障害,pathology,
hallucination,幻覚,symptoms,
auditory_hallucination,幻聴,symptoms,
delusion,妄想,symptoms,
agitation,興奮,symptoms,
avolition,意欲低下,symptoms,
flat_affect,感情鈍麻,symptoms,
social_withdrawal,社会的引きこもり,symptoms,
self_care_deficit,セルフケア低下,symptoms,
attention_deficit,注意力低下,symptoms,
memory_impairment,記憶力低下,symptoms,
insomnia,不眠,symptoms,
anxiety,不安,symptoms,
antipsychotics,抗精神病薬,treatment,
extrapyramidal_symptoms,錐体外路症状,symptoms,
akathisia,アカシジア,symptoms,
tardive_dyskinesia,遅発性ジスキネジア,symptoms,
medication_nonadherence,服薬中断,symptoms,
relapse,再発,disease,
difficulty_judgment,判断力低下,symptoms,
difficulty_concentration,集中困難,symptoms,
social_adaptation_difficulty,社会適応困難,symptoms,
reality_testing_impairment,現実認識障害,symptoms,
kawasaki_disease,川崎病,disease,
systemic_vasculitis,全身血管炎,pathology,
coronary_arteritis,冠動脈炎,pathology,
coronary_aneurysm,冠動脈瘤,disease,
myocardial_infarction,心筋梗塞,disease,
high_fever,高熱,symptoms,
lethargy,活気低下,symptoms,
strawberry_tongue,いちご舌,symptoms,
lip_redness,口唇発赤,symptoms,
rash,発疹,symptoms,
extremity_edema,手足硬性浮腫,symptoms,
cervical_lymphadenopathy,頸部リンパ節腫脹,symptoms,
ivig,免疫グロブリン療法,treatment,
aspirin,アスピリン,treatment,
thrombosis_prevention,血栓ができにくくなる,pathology,
inflammation_control,炎症を抑える,treatment,
antithrombotic_effect,血栓を防ぐ,treatment,
sleep_disturbance,睡眠障害,symptoms,
decreased_activity,活動性低下,symptoms,
oral_pain,口腔痛,symptoms,
photophobia,羞明,symptoms,
gastric_mucosal_injury,胃粘膜障害,pathology,
irritability,不機嫌,symptoms,
red_eyes,目の充血,symptoms,
cracked_lips,口唇亀裂,symptoms,
red_palms_soles,手足発赤,symptoms,
swollen_hands_feet,手足腫脹,symptoms,
bcg_site_redness,BCG痕発赤,symptoms,
family_anxiety,家族不安,symptoms,
pediatric_dehydration,小児脱水,pathology,
ivig_headache,頭痛,symptoms,headache
ivig_nausea,悪心,symptoms,nausea
ivig_vomiting,嘔吐,symptoms,vomiting
liver_dysfunction,肝機能障害,pathology,
allergic_reaction,アレルギー反応,symptoms,
bleeding_tendency,出血傾向,symptoms,
liver_dysfunction,肝機能障害,pathology,
reye_syndrome,ライ症候群,disease,
reduced_energy,元気がなくなる,symptoms,
kawasaki_high_fever,発熱,symptoms,fever
tissue_hypoperfusion,組織血流低下,pathology,
anaerobic_metabolism,嫌気性代謝,pathology,
lactic_acidosis,乳酸上昇,pathology,
pregnancy_induced_hypertension,妊娠高血圧症候群,disease,
vasospasm,血管攣縮,pathology,
hdp_hypertension,妊娠高血圧,symptoms,
placental_hypoperfusion,胎盤血流低下,pathology,
fetal_hypoxia,胎児低酸素,pathology,
fetal_growth_restriction,胎児発育不全,disease,
hdp_headache,頭痛,symptoms,headache
hdp_visual_disturbance,眼症状,symptoms,
cerebral_hypoperfusion,脳血流障害,pathology,
eclampsia,子癇,disease,
hdp_consciousness_disturbance,意識障害,symptoms,consciousness_disturbance
vascular_permeability_increase,血管透過性亢進,pathology,
hdp_edema,浮腫,symptoms,edema
renal_hypoperfusion,腎血流低下,pathology,
proteinuria,蛋白尿,symptoms,
poor_intake,食事摂取低下,symptoms,
oral_mucosal_inflammation,口腔粘膜炎症,pathology,
breath_sound_decrease,呼吸音減弱,symptoms,
deep_breathing_suppression,深呼吸抑制,pathology,
cough_strength_decrease,咳嗽力低下,pathology,
sputum_expectoration_difficulty,喀痰排出困難,symptoms,
crackles,湿性ラ音,symptoms,
respiratory_anxiety,不安,psychological,
